"PickupTime","PickupTimeUTC","CreatedTime","CreatedTimeUTC","ScheduledTime","ScheduledTimeUTC","Location","OrderID","Channel","Status","ReceiptID","Type","Voucher","Payment","PaymentAmount","Rebate","Note","ServiceCharge","DeliveryCost","DiscountTotal","Tip","DriverTip","SubTotal","Brands","ChannelLink","Tax","VAT","FailureMessage","IsTestOrder"
"2023-08-30 23:17:49+0200","2023-08-30 21:17:49","2023-08-30 22:49:33+0200","2023-08-30 20:49:33","","","Alicante - Periodista Rodolfo Salazar","5EEA0","Uber Eats","DELIVERED","7","DELIVERY","","ONLINE",16.0,0.0,"Contacts: +34 910 78 09 61#132 91 206/Customer name: Amada C.",0.0,0.0,0.0,0.0,0.0,16.0,"","Uber Eats",0.0,1.46,"","False"
"2023-08-30 22:43:59+0200","2023-08-30 20:43:59","2023-08-30 22:26:23+0200","2023-08-30 20:26:23","","","Alicante - Bazan","6701F","Uber Eats","DELIVERED","7","DELIVERY","","ONLINE",28.3,0.0,"Contacts: +34 910 78 09 61#101 41 349/Customer name: Fabiola A.",0.0,0.0,0.0,0.0,0.0,28.3,"","Uber Eats",0.0,2.58,"","False"
"2023-08-30 22:41:38+0200","2023-08-30 20:41:38","2023-08-30 22:29:27+0200","2023-08-30 20:29:27","","","Alicante - Bazan","AV5EVJ7N","Glovo","AUTO_FINALIZED","0","DELIVERY","","CARD",26.9,0.0,"Order code: AV5EVJ7N/Order pick_up_code: 272/",0.0,0.0,0.0,0.0,0.0,26.9,"","Glovo",0.0,0.0,"","False"
"2023-08-30 22:38:24+0200","2023-08-30 20:38:24","2023-08-30 22:18:46+0200","2023-08-30 20:18:46","","","Alicante - Periodista Rodolfo Salazar","14E3F","Uber Eats","DELIVERED","6","DELIVERY","","ONLINE",15.1,0.0,"Contacts: +34 910 78 09 61#447 49 699/Customer name: Paulina C.",0.0,0.0,0.0,0.0,0.0,15.1,"","Uber Eats",0.0,1.37,"","False"
"2023-08-30 22:32:06+0200","2023-08-30 20:32:06","2023-08-30 22:15:44+0200","2023-08-30 20:15:44","","","Alicante - Bazan","9A0F4","Uber Eats","DELIVERED","6","DELIVERY","","ONLINE",19.0,0.0,"Contacts: +34 910 78 09 61#995 85 399/Customer name: Akram Y.",0.0,0.0,0.0,0.0,0.0,19.0,"","Uber Eats",0.0,1.73,"","False"
"2023-08-30 22:10:01+0200","2023-08-30 20:10:01","2023-08-30 21:52:24+0200","2023-08-30 19:52:24","","","Alicante - Bazan","BEC1D","Uber Eats","DELIVERED","5","DELIVERY","","ONLINE",14.6,0.0,"Contacts: +34 910 78 09 61#176 95 607/Customer name: Pablo M.",0.0,0.0,0.0,0.0,0.0,14.6,"","Uber Eats",0.0,1.33,"","False"
"2023-08-30 21:56:37+0200","2023-08-30 19:56:37","2023-08-30 21:29:07+0200","2023-08-30 19:29:07","","","Alicante - Bazan","C21CC","Uber Eats","DELIVERED","3","DELIVERY","","ONLINE",55.5,0.0,"Customer notes: Please check order contents are correct./Contacts: +34 910 78 09 61#208 49 672/Customer name: Luis B.",0.0,0.0,0.0,0.0,0.0,55.5,"","Uber Eats",0.0,5.06,"","False"
"2023-08-30 21:52:53+0200","2023-08-30 19:52:53","2023-08-30 21:42:15+0200","2023-08-30 19:42:15","","","Alicante - Bazan","AD1MLMNL","Glovo","AUTO_FINALIZED","0","DELIVERY","","CARD",24.5,0.0,"Order code: AD1MLMNL/Order pick_up_code: 076/",0.0,0.0,0.0,0.0,0.0,24.5,"","Glovo",0.0,0.0,"","False"
"2023-08-30 21:44:42+0200","2023-08-30 19:44:42","2023-08-30 21:21:22+0200","2023-08-30 19:21:22","","","Alicante - Bazan","40155","Uber Eats","DELIVERED","2","DELIVERY","","ONLINE",68.8,0.0,"Customer notes: Please check order contents are correct./Contacts: +34 910 78 09 61#521 04 074/Customer name: Covi G.",0.0,0.0,0.0,0.0,0.0,68.8,"","Uber Eats",0.0,6.25,"","False"
"2023-08-30 21:12:40+0200","2023-08-30 19:12:40","2023-08-30 20:58:40+0200","2023-08-30 18:58:40","","","Alicante - Periodista Rodolfo Salazar","135287880","Just Eat","DELIVERED","5","DELIVERY","","CARD",32.99,0.0,"",0.0,1.99,0.0,0.0,0.0,31.0,"","Just Eat",0.0,2.81,"","False"
