"PickupTime","PickupTimeUTC","CreatedTime","CreatedTimeUTC","ScheduledTime","ScheduledTimeUTC","Location","OrderID","Channel","Status","ReceiptID","Type","Voucher","Payment","PaymentAmount","Rebate","Note","ServiceCharge","DeliveryCost","DiscountTotal","Tip","DriverTip","SubTotal","Brands","ChannelLink","Tax","VAT","FailureMessage","IsTestOrder"
"2023-10-31 22:59:18+0100","2023-10-31 21:59:18","2023-10-31 22:44:42+0100","2023-10-31 21:44:42","","","Alicante - Periodista Rodolfo Salazar","288","Glovo","DELIVERED","15","DELIVERY","","CARD",16.8,0.0,"Allergy info: SIN BACON SIN BACON SIN BACON SIN BACON POR FAVOR POR FAVOR GRACIAS GRACIAS 🙌🙌🙌🙌🙌🙌/Order code: AXRNAYCE/Order pick_up_code: 288/",0.0,0.0,0.0,0.0,0.0,16.8,"","Glovo",0.0,0.0,"","False"
"2023-10-31 22:46:15+0100","2023-10-31 21:46:15","2023-10-31 22:31:15+0100","2023-10-31 21:31:15","","","Alicante - Bazan","138509659","Just Eat","ACCEPTED","11","DELIVERY","","CARD",85.39,0.0,"",0.0,1.99,0.0,0.0,0.0,83.4,"","Just Eat",0.0,7.57,"","False"
"2023-10-31 22:43:39+0100","2023-10-31 21:43:39","2023-10-31 22:26:22+0100","2023-10-31 21:26:22","","","Alicante - Periodista Rodolfo Salazar","739","Glovo","AUTO_FINALIZED","13","DELIVERY","","CARD",28.1,0.0,"Allergy info: La uno para celiaco/Order code: AJ1HZ6UY/Order pick_up_code: 739/",0.0,0.0,0.0,0.0,0.0,28.1,"","Glovo",0.0,0.0,"","False"
"2023-10-31 22:40:23+0100","2023-10-31 21:40:23","2023-10-31 22:20:39+0100","2023-10-31 21:20:39","","","Alicante - Periodista Rodolfo Salazar","658","Glovo","AUTO_FINALIZED","12","DELIVERY","","CARD",27.2,0.0,"Order code: AGJCV2XE/Order pick_up_code: 658/",0.0,0.0,0.0,0.0,0.0,27.2,"","Glovo",0.0,0.0,"","False"
"2023-10-31 22:30:36+0100","2023-10-31 21:30:36","2023-10-31 22:14:48+0100","2023-10-31 21:14:48","","","Alicante - Bazan","9F6F0","Uber Eats","ACCEPTED","10","DELIVERY","","ONLINE",29.8,0.0,"Contacts: +34 910 78 09 61#075 85 843/Customer name: Alex A.",0.0,0.0,0.0,0.0,0.0,29.8,"","Uber Eats",0.0,2.72,"","False"
"2023-10-31 22:16:25+0100","2023-10-31 21:16:25","2023-10-31 22:02:26+0100","2023-10-31 21:02:26","","","Alicante - Periodista Rodolfo Salazar","138502564","Just Eat","DELIVERED","11","DELIVERY","","CARD",41.89,0.0,"",0.0,1.99,0.0,0.0,0.0,39.9,"","Just Eat",0.0,3.62,"","False"
"2023-10-31 22:10:30+0100","2023-10-31 21:10:30","2023-10-31 21:55:12+0100","2023-10-31 20:55:12","","","Alicante - Bazan","A8F8RUD8","Glovo","AUTO_FINALIZED","9","DELIVERY","","CARD",27.6,0.0,"Order code: A8F8RUD8/Order pick_up_code: 625/",0.0,0.0,0.0,0.0,0.0,27.6,"","Glovo",0.0,0.0,"","False"
"2023-10-31 22:08:07+0100","2023-10-31 21:08:07","2023-10-31 21:53:59+0100","2023-10-31 20:53:59","","","Alicante - Periodista Rodolfo Salazar","725","Glovo","AUTO_FINALIZED","10","DELIVERY","","CARD",28.8,0.0,"Order code: AH7QBA96/Order pick_up_code: 725/",0.0,0.0,0.0,0.0,0.0,28.8,"","Glovo",0.0,0.0,"","False"
"2023-10-31 21:58:24+0100","2023-10-31 20:58:24","2023-10-31 21:44:29+0100","2023-10-31 20:44:29","","","Alicante - Periodista Rodolfo Salazar","548","Glovo","AUTO_FINALIZED","9","DELIVERY","","CARD",28.6,0.0,"Order code: A1U31LPS/Order pick_up_code: 548/",0.0,0.0,0.0,0.0,0.0,28.6,"","Glovo",0.0,0.0,"","False"
"2023-10-31 21:55:38+0100","2023-10-31 20:55:38","2023-10-31 21:39:03+0100","2023-10-31 20:39:03","","","Alicante - Bazan","3BDB8","Uber Eats","ACCEPTED","8","DELIVERY","","ONLINE",30.0,0.0,"Contacts: +34 910 78 09 61#060 43 697/Customer name: Manuel Jorge M.",0.0,0.0,0.0,0.0,0.0,30.0,"","Uber Eats",0.0,2.73,"","False"
