"CreatedTime","CreatedTimeUTC","Location","OrderID","Channel","Payment","PaymentAmount","Rebate","DiscountTotal","SubTotal","Tax","VAT","ProductNames","ItemPrice","ItemQuantities"
"2023-11-30 15:09:11+0100","2023-11-30 14:09:11","Alicante - Bazan","E5F8C","Uber Eats","ONLINE",19.9,0.0,0.0,19.9,0.0,1.81,"Mamma mia!",1450,1
"2023-11-30 15:09:11+0100","2023-11-30 14:09:11","Alicante - Bazan","E5F8C","Uber Eats","ONLINE",19.9,0.0,0.0,19.9,0.0,1.81,"Pollo CRISPY casero",0,1
"2023-11-30 15:09:11+0100","2023-11-30 14:09:11","Alicante - Bazan","E5F8C","Uber Eats","ONLINE",19.9,0.0,0.0,19.9,0.0,1.81,"Patatas fritas caseras",0,1
"2023-11-30 15:09:11+0100","2023-11-30 14:09:11","Alicante - Bazan","E5F8C","Uber Eats","ONLINE",19.9,0.0,0.0,19.9,0.0,1.81,"Hamburguesa normal",0,1
"2023-11-30 15:09:11+0100","2023-11-30 14:09:11","Alicante - Bazan","E5F8C","Uber Eats","ONLINE",19.9,0.0,0.0,19.9,0.0,1.81,"Queso en las patatas",150,1
"2023-11-30 15:09:11+0100","2023-11-30 14:09:11","Alicante - Bazan","E5F8C","Uber Eats","ONLINE",19.9,0.0,0.0,19.9,0.0,1.81,"Tequenutella PL",390,1
"2023-11-30 13:58:30+0100","2023-11-30 12:58:30","Alicante - Bazan","AKNMCSNU","Glovo","CARD",9.9,0.0,-9.9,19.8,0.0,0.0,"Tequeños",990,2
"2023-11-30 13:58:30+0100","2023-11-30 12:58:30","Alicante - Bazan","AKNMCSNU","Glovo","CARD",9.9,0.0,-9.9,19.8,0.0,0.0,"Tepuy",0,2
"2023-11-30 13:54:46+0100","2023-11-30 12:54:46","Alicante - Periodista Rodolfo Salazar","898","Glovo","CARD",17.4,0.0,-17.4,34.8,0.0,0.0,"Perla Negra",1490,2
"2023-11-30 13:54:46+0100","2023-11-30 12:54:46","Alicante - Periodista Rodolfo Salazar","898","Glovo","CARD",17.4,0.0,-17.4,34.8,0.0,0.0,"Pan normal",0,2
"2023-11-30 13:54:46+0100","2023-11-30 12:54:46","Alicante - Periodista Rodolfo Salazar","898","Glovo","CARD",17.4,0.0,-17.4,34.8,0.0,0.0,"Al punto",0,2
"2023-11-30 13:54:46+0100","2023-11-30 12:54:46","Alicante - Periodista Rodolfo Salazar","898","Glovo","CARD",17.4,0.0,-17.4,34.8,0.0,0.0,"Patatas fritas caseras",0,2
"2023-11-30 13:54:46+0100","2023-11-30 12:54:46","Alicante - Periodista Rodolfo Salazar","898","Glovo","CARD",17.4,0.0,-17.4,34.8,0.0,0.0,"Una más de ternera gallega",250,2
"2023-11-30 13:54:46+0100","2023-11-30 12:54:46","Alicante - Periodista Rodolfo Salazar","898","Glovo","CARD",17.4,0.0,-17.4,34.8,0.0,0.0,"Sin Extras",0,2
"2023-11-29 23:11:29+0100","2023-11-29 22:11:29","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Cocacola bote",290,1
"2023-11-29 23:11:29+0100","2023-11-29 22:11:29","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Cheesebacon",1290,1
"2023-11-29 23:11:29+0100","2023-11-29 22:11:29","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Pan normal",0,1
"2023-11-29 23:11:29+0100","2023-11-29 22:11:29","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Hecha",0,1
"2023-11-29 23:11:29+0100","2023-11-29 22:11:29","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Patatas fritas caseras",0,1
"2023-11-29 23:11:29+0100","2023-11-29 22:11:29","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Hamburguesa normal",0,1
"2023-11-29 23:11:29+0100","2023-11-29 22:11:29","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Sin Extras",0,1
"2023-11-29 23:21:36+0100","2023-11-29 22:21:36","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Cocacola bote",290,1
"2023-11-29 23:21:36+0100","2023-11-29 22:21:36","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Cheesebacon",1290,1
"2023-11-29 23:21:36+0100","2023-11-29 22:21:36","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Pan normal",0,1
"2023-11-29 23:21:36+0100","2023-11-29 22:21:36","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Hecha",0,1
"2023-11-29 23:21:36+0100","2023-11-29 22:21:36","Alicante - Bazan","AZSTMP3H","Glovo","CARD",15.8,0.0,0.0,15.8,0.0,0.0,"Patatas fritas caseras",0,1
