"PickupTime","PickupTimeUTC","CreatedTime","CreatedTimeUTC","ScheduledTime","ScheduledTimeUTC","Location","OrderID","Channel","Status","ReceiptID","Type","Voucher","Payment","PaymentAmount","Rebate","Note","ServiceCharge","DeliveryCost","DiscountTotal","Tip","DriverTip","SubTotal","Brands","ChannelLink","Tax","VAT","FailureMessage","IsTestOrder"
"2023-04-30 23:11:21+0200","2023-04-30 21:11:21","2023-04-30 22:51:18+0200","2023-04-30 20:51:18","","","Alicante - Periodista Rodolfo Salazar","C5C6A","Uber Eats","DELIVERED","26","DELIVERY","","ONLINE",12.9,0.0,"Contacts: +34 910 78 09 61#309 03 418/Customer name: Marcos G.",0.0,0.0,-12.9,0.0,0.0,25.8,"","Uber Eats",0.0,1.18,"","False"
"2023-04-30 23:01:41+0200","2023-04-30 21:01:41","2023-04-30 22:36:25+0200","2023-04-30 20:36:25","","","Alicante - Periodista Rodolfo Salazar","BD770","Uber Eats","DELIVERED","25","PICKUP","","ONLINE",15.9,0.0,"Contacts: +34 910 78 09 61#101 80 683/Customer name: Javier U.",0.0,0.0,-12.9,0.0,0.0,28.8,"","Uber Eats",0.0,1.45,"","False"
"2023-04-30 22:31:06+0200","2023-04-30 20:31:06","2023-04-30 22:10:04+0200","2023-04-30 20:10:04","","","Alicante - Periodista Rodolfo Salazar","A892B","Uber Eats","DELIVERED","24","DELIVERY","","ONLINE",21.8,0.0,"Contacts: +34 910 78 09 61#771 54 556/Customer name: Marta R.",0.0,0.0,0.0,0.0,0.0,21.8,"","Uber Eats",0.0,1.98,"","False"
"2023-04-30 22:20:19+0200","2023-04-30 20:20:19","2023-04-30 21:59:31+0200","2023-04-30 19:59:31","","","Alicante - Bazan","BB3B8","Uber Eats","ACCEPTED","0","DELIVERY","","ONLINE",36.6,0.0,"Contacts: +34 910 78 09 61#530 79 515/Customer name: Daniel S.",0.0,0.0,0.0,0.0,0.0,36.6,"","Uber Eats",0.0,3.34,"","False"
"2023-04-30 22:20:13+0200","2023-04-30 20:20:13","2023-04-30 22:01:55+0200","2023-04-30 20:01:55","","","Alicante - Periodista Rodolfo Salazar","1F69D","Uber Eats","DELIVERED","23","DELIVERY","","ONLINE",14.0,0.0,"Contacts: +34 910 78 09 61#924 22 748/Customer name: Cynthia R.",0.0,0.0,0.0,0.0,0.0,14.0,"","Uber Eats",0.0,1.28,"","False"
"2023-04-30 22:17:25+0200","2023-04-30 20:17:25","2023-04-30 22:00:05+0200","2023-04-30 20:00:05","","","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","DELIVERED","21","DELIVERY","","ONLINE",32.0,0.0,"Contacts: +34 910 78 09 61#632 20 199/Customer name: Agostina M.",0.0,0.0,-12.9,0.0,0.0,44.9,"","Uber Eats",0.0,2.91,"","False"
"2023-04-30 22:17:21+0200","2023-04-30 20:17:21","2023-04-30 22:00:06+0200","2023-04-30 20:00:06","","","Alicante - Periodista Rodolfo Salazar","4F032","Uber Eats","DELIVERED","22","PICKUP","","ONLINE",12.9,0.0,"Customer notes: UNA DE LAS DOS SIN NINGUN TIPO DE CEBOLLA (Alergia)./Contacts: +34 910 78 09 61#647 38 034/Customer name: Angel C.",0.0,0.0,-12.9,0.0,0.0,25.8,"","Uber Eats",0.0,1.18,"","False"
"2023-04-30 22:16:56+0200","2023-04-30 20:16:56","2023-04-30 21:59:22+0200","2023-04-30 19:59:22","","","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","DELIVERED","19","DELIVERY","","ONLINE",18.4,0.0,"Contacts: +34 910 78 09 61#329 09 959/Customer name: Lydia I.",0.0,0.0,-12.9,0.0,0.0,31.3,"","Uber Eats",0.0,1.68,"","False"
"2023-04-30 22:16:47+0200","2023-04-30 20:16:47","2023-04-30 21:59:40+0200","2023-04-30 19:59:40","","","Alicante - Periodista Rodolfo Salazar","7503A","Uber Eats","DELIVERED","20","DELIVERY","","ONLINE",12.9,0.0,"Contacts: +34 910 78 09 61#528 84 119/Customer name: Joel L.",0.0,0.0,-12.9,0.0,0.0,25.8,"","Uber Eats",0.0,1.18,"","False"
"2023-04-30 22:16:11+0200","2023-04-30 20:16:11","2023-04-30 22:03:37+0200","2023-04-30 20:03:37","","","Alicante - Bazan","A5EKM1EL","Glovo","AUTO_FINALIZED","0","DELIVERY","","CARD",37.8,0.0,"Order code: A5EKM1EL/Order pick_up_code: 430/Should include cutlery/",0.0,0.0,0.0,0.0,0.0,37.8,"","Glovo",0.0,0.0,"","False"
"2023-04-30 22:15:12+0200","2023-04-30 20:15:12","2023-04-30 21:56:48+0200","2023-04-30 19:56:48","","","Alicante - Periodista Rodolfo Salazar","B31D3","Uber Eats","DELIVERED","18","DELIVERY","","ONLINE",24.5,0.0,"Contacts: +34 910 78 09 61#685 01 756/Customer name: ruben R.",0.0,0.0,-12.9,0.0,0.0,37.4,"","Uber Eats",0.0,2.23,"","False"
"2023-04-30 22:10:44+0200","2023-04-30 20:10:44","2023-04-30 21:50:18+0200","2023-04-30 19:50:18","","","Alicante - Bazan","63F86","Uber Eats","ACCEPTED","0","DELIVERY","","ONLINE",34.6,0.0,"Customer notes: Please check order contents are correct./Contacts: +34 910 78 09 61#440 51 891/Customer name: Dani K.",0.0,0.0,0.0,0.0,0.0,34.6,"","Uber Eats",0.0,3.15,"","False"
"2023-04-30 22:10:12+0200","2023-04-30 20:10:12","2023-04-30 21:51:37+0200","2023-04-30 19:51:37","","","Alicante - Periodista Rodolfo Salazar","C3948","Uber Eats","DELIVERED","16","DELIVERY","","ONLINE",12.9,0.0,"Contacts: +34 910 78 09 61#227 81 108/Customer name: Seva N.",0.0,0.0,-12.9,0.0,0.0,25.8,"","Uber Eats",0.0,1.18,"","False"
"2023-04-30 22:10:03+0200","2023-04-30 20:10:03","2023-04-30 21:56:04+0200","2023-04-30 19:56:04","","","Alicante - Periodista Rodolfo Salazar","128399797","Just Eat","DELIVERED","17","DELIVERY","","CARD",35.09,0.0,"",0.0,1.99,0.0,0.0,0.0,33.1,"","Just Eat",0.0,3.01,"","False"
